ADOB_ID;ADS_OID;ADOB_LIIK;ORIG_TUNNUS;ETAK_ID;ADS_KEHTIV;OLEK;ADR_ID;KOODAADRESS;TAISAADRESS;LAHIAADRESS;AADR_OLEK;VIITEPUNKT_X;VIITEPUNKT_Y;TASE1_KOOD;TASE1_NIMETUS;TASE1_NIMETUS_LIIGIGA;TASE2_KOOD;TASE2_NIMETUS;TASE2_NIMETUS_LIIGIGA;TASE3_KOOD;TASE3_NIMETUS;TASE3_NIMETUS_LIIGIGA;TASE4_KOOD;TASE4_NIMETUS;TASE4_NIMETUS_LIIGIGA;TASE5_KOOD;TASE5_NIMETUS;TASE5_NIMETUS_LIIGIGA;TASE6_KOOD;TASE6_NIMETUS;TASE6_NIMETUS_LIIGIGA;TASE7_KOOD;TASE7_NIMETUS;TASE7_NIMETUS_LIIGIGA;TASE8_KOOD;TASE8_NIMETUS;TASE8_NIMETUS_LIIGIGA
118006;"LP00012285";"LP";"2119541";;"19.02.2004 06:40:40";"K";108838;"377840524000004DS0000000000000000";"Harju maakond, Tallinna linn, Nõmme linnaosa, Kalevala tn";"Kalevala tn";"K";536589,24;6582445,70;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0524";"Nõmme linnaosa";"Nõmme linnaosa";"";"";"";"04DS";"Kalevala tn";"Kalevala tänav";"";"";"";"";"";"";"";"";""
121233;"LP00016245";"LP";"2614698";;"28.05.2004 09:55:18";"K";110991;"377840596000004JP0000000000000000";"Harju maakond, Tallinna linn, Pirita linnaosa, Sarapiku tee";"Sarapiku tee";"K";547707,15;6594730,28;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0596";"Pirita linnaosa";"Pirita linnaosa";"";"";"";"04JP";"Sarapiku tee";"Sarapiku tee";"";"";"";"";"";"";"";"";""
121263;"LP00016282";"LP";"2706927";;"28.05.2004 09:55:04";"K";117726;"377840176000004H30000000000000000";"Harju maakond, Tallinna linn, Haabersti linnaosa, Kudu tn";"Kudu tn";"K";533202,67;6589557,54;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0176";"Haabersti linnaosa";"Haabersti linnaosa";"";"";"";"04H3";"Kudu tn";"Kudu tänav";"";"";"";"";"";"";"";"";""
121411;"LP00016463";"LP";"2104757";;"19.02.2004 01:25:50";"K";113229;"377840387000004BU0000000000000000";"Harju maakond, Tallinna linn, Lasnamäe linnaosa, Tuulemäe tn";"Tuulemäe tn";"K";545103,88;6587861,09;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0387";"Lasnamäe linnaosa";"Lasnamäe linnaosa";"";"";"";"04BU";"Tuulemäe tn";"Tuulemäe tänav";"";"";"";"";"";"";"";"";""
121465;"LP00016529";"LP";"2120362";;"19.02.2004 06:58:51";"K";113777;"377840524000003RC0000000000000000";"Harju maakond, Tallinna linn, Nõmme linnaosa, Uku tn";"Uku tn";"K";538150,50;6581850,79;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0524";"Nõmme linnaosa";"Nõmme linnaosa";"";"";"";"03RC";"Uku tn";"Uku tänav";"";"";"";"";"";"";"";"";""
120020;"LP00014757";"LP";"2105767";;"19.02.2004 01:52:14";"K";115634;"377840387000004BG0000000000000000";"Harju maakond, Tallinna linn, Lasnamäe linnaosa, Väike-Paala tn";"Väike-Paala tn";"K";545873,74;6588091,80;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0387";"Lasnamäe linnaosa";"Lasnamäe linnaosa";"";"";"";"04BG";"Väike-Paala tn";"Väike-Paala tänav";"";"";"";"";"";"";"";"";""
120241;"LP00015028";"LP";"2114760";;"19.02.2004 04:42:09";"K";108500;"377840298000004AH0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Rahukohtu tn";"Rahukohtu tn";"K";541997,51;6589109,99;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"04AH";"Rahukohtu tn";"Rahukohtu tänav";"";"";"";"";"";"";"";"";""
120247;"LP00015035";"LP";"2120075";;"19.02.2004 06:52:54";"K";116726;"377840524000004E20000000000000000";"Harju maakond, Tallinna linn, Nõmme linnaosa, Kasteheina tn";"Kasteheina tn";"K";536260,91;6582457,17;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0524";"Nõmme linnaosa";"Nõmme linnaosa";"";"";"";"04E2";"Kasteheina tn";"Kasteheina tänav";"";"";"";"";"";"";"";"";""
120270;"LP00015063";"LP";"2119750";;"19.02.2004 06:46:20";"K";108877;"377840524000003Z90000000000000000";"Harju maakond, Tallinna linn, Nõmme linnaosa, Puraviku tn";"Puraviku tn";"K";540874,59;6583079,95;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0524";"Nõmme linnaosa";"Nõmme linnaosa";"";"";"";"03Z9";"Puraviku tn";"Puraviku tänav";"";"";"";"";"";"";"";"";""
118504;"LP00012896";"LP";"2612376";;"28.05.2004 09:50:50";"K";115414;"377840298000005ZG0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Loite tn";"Loite tn";"K";541373,24;6588511,16;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"05ZG";"Loite tn";"Loite tänav";"";"";"";"";"";"";"";"";""
120568;"LP00015428";"LP";"2114000";;"19.02.2004 04:22:56";"K";112801;"377840298000003KK0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Vana-Veerenni tn";"Vana-Veerenni tn";"K";542283,74;6587913,49;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"03KK";"Vana-Veerenni tn";"Vana-Veerenni tänav";"";"";"";"";"";"";"";"";""
118732;"LP00013177";"LP";"2107313";;"19.02.2004 02:21:08";"K";108324;"377840596000003S60000000000000000";"Harju maakond, Tallinna linn, Pirita linnaosa, Kedriku tn";"Kedriku tn";"K";549532,05;6594349,69;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0596";"Pirita linnaosa";"Pirita linnaosa";"";"";"";"03S6";"Kedriku tn";"Kedriku tänav";"";"";"";"";"";"";"";"";""
118750;"LP00013199";"LP";"2119194";;"19.02.2004 06:32:32";"K";108567;"377840524000004DI0000000000000000";"Harju maakond, Tallinna linn, Nõmme linnaosa, Jõhvika tn";"Jõhvika tn";"K";540869,20;6582822,06;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0524";"Nõmme linnaosa";"Nõmme linnaosa";"";"";"";"04DI";"Jõhvika tn";"Jõhvika tänav";"";"";"";"";"";"";"";"";""
120671;"LP00015554";"LP";"2114637";;"19.02.2004 04:39:11";"K";114189;"377840298000003WE0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Raua põik";"Raua põik";"K";543541,17;6588902,81;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"03WE";"Raua põik";"Raua põik";"";"";"";"";"";"";"";"";""
121036;"LP00016001";"LP";"2108772";;"19.02.2004 02:46:02";"K";108646;"377840596000003UR0000000000000000";"Harju maakond, Tallinna linn, Pirita linnaosa, Karukella tee";"Karukella tee";"K";549942,21;6591960,70;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0596";"Pirita linnaosa";"Pirita linnaosa";"";"";"";"03UR";"Karukella tee";"Karukella tee";"";"";"";"";"";"";"";"";""
125935;"LP00021609";"LP";"2113871";;"19.02.2004 04:20:55";"K";113190;"377840298000003O40000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Suur-Karja tn";"Suur-Karja tn";"K";542370,62;6588760,55;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"03O4";"Suur-Karja tn";"Suur-Karja tänav";"";"";"";"";"";"";"";"";""
125983;"LP00021657";"LP";"2612445";;"28.05.2004 09:51:00";"K";117289;"377840298000006010000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Rumbi tn";"Rumbi tn";"K";543012,44;6589967,56;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"0601";"Rumbi tn";"Rumbi tänav";"";"";"";"";"";"";"";"";""
123001;"LP00018404";"LP";"2119908";;"19.02.2004 06:49:26";"K";116946;"3778405240000042N0000000000000000";"Harju maakond, Tallinna linn, Nõmme linnaosa, Kuuse tn";"Kuuse tn";"K";538740,96;6583396,27;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0524";"Nõmme linnaosa";"Nõmme linnaosa";"";"";"";"042N";"Kuuse tn";"Kuuse tänav";"";"";"";"";"";"";"";"";""
126354;"LP00022034";"LP";"2613003";;"28.05.2004 09:52:36";"K";110701;"377840524000004GO0000000000000000";"Harju maakond, Tallinna linn, Nõmme linnaosa, Karuse tn";"Karuse tn";"K";542535,91;6581639,12;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0524";"Nõmme linnaosa";"Nõmme linnaosa";"";"";"";"04GO";"Karuse tn";"Karuse tänav";"";"";"";"";"";"";"";"";""
126362;"LP00022042";"LP";"2618265";;"28.05.2004 09:55:10";"K";111011;"377840176000004I60000000000000000";"Harju maakond, Tallinna linn, Haabersti linnaosa, Müta tn";"Müta tn";"K";533142,68;6589112,67;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0176";"Haabersti linnaosa";"Haabersti linnaosa";"";"";"";"04I6";"Müta tn";"Müta tänav";"";"";"";"";"";"";"";"";""
121589;"LP00016680";"LP";"2117066";;"19.02.2004 05:39:02";"K";115610;"377840614000004500000000000000000";"Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Pebre tn";"Pebre tn";"K";540747,21;6589389,45;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0614";"Põhja-Tallinna linnaosa";"Põhja-Tallinna linnaosa";"";"";"";"0450";"Pebre tn";"Pebre tänav";"";"";"";"";"";"";"";"";""
126449;"LP00022130";"LP";"2118800";;"19.02.2004 06:25:54";"K";114087;"377840524000003MK0000000000000000";"Harju maakond, Tallinna linn, Nõmme linnaosa, Soovildiku tn";"Soovildiku tn";"K";534931,73;6580278,59;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0524";"Nõmme linnaosa";"Nõmme linnaosa";"";"";"";"03MK";"Soovildiku tn";"Soovildiku tänav";"";"";"";"";"";"";"";"";""
121841;"LP00016988";"LP";"2111280";;"19.02.2004 03:12:20";"K";108638;"377840176000003NU0000000000000000";"Harju maakond, Tallinna linn, Haabersti linnaosa, Tursa tn";"Tursa tn";"K";533081,48;6590574,93;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0176";"Haabersti linnaosa";"Haabersti linnaosa";"";"";"";"03NU";"Tursa tn";"Tursa tänav";"";"";"";"";"";"";"";"";""
121843;"LP00016990";"LP";"2114065";;"19.02.2004 04:23:49";"K";108677;"3778402980000040X0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Söe tn";"Söe tn";"K";542714;6586415,85;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"040X";"Söe tn";"Söe tänav";"";"";"";"";"";"";"";"";""
122016;"LP00017204";"LP";"2102079";;"19.02.2004 00:22:32";"K";111018;"377840339000004010000000000000000";"Harju maakond, Tallinna linn, Kristiine linnaosa, Pardi tn";"Pardi tn";"K";541462,22;6586359,50;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0339";"Kristiine linnaosa";"Kristiine linnaosa";"";"";"";"0401";"Pardi tn";"Pardi tänav";"";"";"";"";"";"";"";"";""
122018;"LP00017206";"LP";"2102767";;"19.02.2004 00:42:02";"K";116912;"3778403390000046M0000000000000000";"Harju maakond, Tallinna linn, Kristiine linnaosa, Sinika tn";"Sinika tn";"K";540955,03;6588078,85;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0339";"Kristiine linnaosa";"Kristiine linnaosa";"";"";"";"046M";"Sinika tn";"Sinika tänav";"";"";"";"";"";"";"";"";""
123560;"LP00019063";"LP";"3048861";;"28.05.2004 09:55:02";"K";117324;"377840596000004GM0000000000000000";"Harju maakond, Tallinna linn, Pirita linnaosa, Kannustiiva tn";"Kannustiiva tn";"K";550384,34;6593461,59;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0596";"Pirita linnaosa";"Pirita linnaosa";"";"";"";"04GM";"Kannustiiva tn";"Kannustiiva tänav";"";"";"";"";"";"";"";"";""
122078;"LP00017279";"LP";"3175588";;"12.11.2003 11:49:38";"K";111900;"3778406140000044L0000000000000000";"Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Merimetsa tee";"Merimetsa tee";"K";539646,95;6588829,13;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0614";"Põhja-Tallinna linnaosa";"Põhja-Tallinna linnaosa";"";"";"";"044L";"Merimetsa tee";"Merimetsa tee";"";"";"";"";"";"";"";"";""
126924;"LP00022469";"LP";"2102741";;"19.02.2004 00:41:20";"K";111039;"377840339000003NJ0000000000000000";"Harju maakond, Tallinna linn, Kristiine linnaosa, Seemne tn";"Seemne tn";"K";539426,80;6587636,36;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0339";"Kristiine linnaosa";"Kristiine linnaosa";"";"";"";"03NJ";"Seemne tn";"Seemne tänav";"";"";"";"";"";"";"";"";""
124023;"LP00019591";"LP";"2613136";;"28.05.2004 09:53:57";"K";110302;"3778406140000044H0000000000000000";"Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Maleva põik";"Maleva põik";"K";538549,90;6591620,21;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0614";"Põhja-Tallinna linnaosa";"Põhja-Tallinna linnaosa";"";"";"";"044H";"Maleva põik";"Maleva põik";"";"";"";"";"";"";"";"";""
122573;"LP00017886";"LP";"2117040";;"19.02.2004 05:38:31";"K";108546;"377840614000003P80000000000000000";"Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Nisu tn";"Nisu tn";"K";540315,46;6589806,42;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0614";"Põhja-Tallinna linnaosa";"Põhja-Tallinna linnaosa";"";"";"";"03P8";"Nisu tn";"Nisu tänav";"";"";"";"";"";"";"";"";""
122599;"LP00017917";"LP";"2595965";;"02.04.2004 01:20:52";"K";108888;"3778402980000049Y0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Oleviste tn";"Oleviste tn";"K";542420,46;6589484,83;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"049Y";"Oleviste tn";"Oleviste tänav";"";"";"";"";"";"";"";"";""
120001;"LP00014733";"LP";"2466294";;"31.03.2004 23:24:35";"K";115348;"377840524000003R60000000000000000";"Harju maakond, Tallinna linn, Nõmme linnaosa, Turu plats";"Turu plats";"K";538836,82;6583589,90;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0524";"Nõmme linnaosa";"Nõmme linnaosa";"";"";"";"03R6";"Turu plats";"Turu plats";"";"";"";"";"";"";"";"";""
120249;"LP00015037";"LP";"2106680";;"19.02.2004 02:10:33";"K";108588;"377840596000003RE0000000000000000";"Harju maakond, Tallinna linn, Pirita linnaosa, Vaate tee";"Vaate tee";"K";547079,73;6595585,71;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0596";"Pirita linnaosa";"Pirita linnaosa";"";"";"";"03RE";"Vaate tee";"Vaate tee";"";"";"";"";"";"";"";"";""
118118;"LP00012422";"LP";"2114184";;"19.02.2004 04:25:57";"K";110219;"377840298000004AU0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Terase tn";"Terase tn";"K";543776,06;6588904,40;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"04AU";"Terase tn";"Terase tänav";"";"";"";"";"";"";"";"";""
118151;"LP00012462";"LP";"2612466";;"28.05.2004 09:51:04";"K";110618;"3778402980000060K0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Uus tn";"Uus tn";"K";542546,83;6589306,50;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"060K";"Uus tn";"Uus tänav";"";"";"";"";"";"";"";"";""
118177;"LP00012494";"LP";"2614696";;"28.05.2004 09:55:25";"K";110990;"377840596000004KY0000000000000000";"Harju maakond, Tallinna linn, Pirita linnaosa, Vahtriku tee";"Vahtriku tee";"K";548018,11;6594602,09;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0596";"Pirita linnaosa";"Pirita linnaosa";"";"";"";"04KY";"Vahtriku tee";"Vahtriku tee";"";"";"";"";"";"";"";"";""
120257;"LP00015047";"LP";"2116669";;"19.02.2004 05:32:07";"K";108719;"377840614000003OX0000000000000000";"Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Ädala tn";"Ädala tn";"K";540053,99;6588888,60;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0614";"Põhja-Tallinna linnaosa";"Põhja-Tallinna linnaosa";"";"";"";"03OX";"Ädala tn";"Ädala tänav";"";"";"";"";"";"";"";"";""
128266;"LP00011619";"LP";"3099307";;"24.11.2005 09:24:18";"K";111729;"3778401760000096L0000000000000000";"Harju maakond, Tallinna linn, Haabersti linnaosa, Härgmäe tn";"Härgmäe tn";"K";534145,09;6584316,09;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0176";"Haabersti linnaosa";"Haabersti linnaosa";"";"";"";"096L";"Härgmäe tn";"Härgmäe tänav";"";"";"";"";"";"";"";"";""
129027;"LP00017573";"LP";"2104671";;"19.02.2004 01:23:58";"K";116859;"377840387000004BS0000000000000000";"Harju maakond, Tallinna linn, Lasnamäe linnaosa, Tuha tn";"Tuha tn";"K";545231,79;6588089,80;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0387";"Lasnamäe linnaosa";"Lasnamäe linnaosa";"";"";"";"04BS";"Tuha tn";"Tuha tänav";"";"";"";"";"";"";"";"";""
129033;"LP00017608";"LP";"2115613";;"19.02.2004 05:00:55";"K";115710;"3778402980000040S0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Suitsu põik";"Suitsu põik";"K";542517,55;6586272,73;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"040S";"Suitsu põik";"Suitsu põik";"";"";"";"";"";"";"";"";""
121472;"LP00016538";"LP";"2561290";;"01.04.2004 20:19:44";"K";113930;"377840298000004A70000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Pikk jalg";"Pikk jalg";"K";542088,15;6589011,63;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"04A7";"Pikk jalg";"Pikk jalg";"";"";"";"";"";"";"";"";""
121034;"LP00015999";"LP";"2106224";;"19.02.2004 02:01:17";"K";108612;"377840596000004DD0000000000000000";"Harju maakond, Tallinna linn, Pirita linnaosa, Jasmiini tee";"Jasmiini tee";"K";549150,88;6594884,42;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0596";"Pirita linnaosa";"Pirita linnaosa";"";"";"";"04DD";"Jasmiini tee";"Jasmiini tee";"";"";"";"";"";"";"";"";""
121037;"LP00016002";"LP";"2110912";;"19.02.2004 03:09:00";"K";108657;"3778401760000046C0000000000000000";"Harju maakond, Tallinna linn, Haabersti linnaosa, Joone tn";"Joone tn";"K";538517,48;6587764,28;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0176";"Haabersti linnaosa";"Haabersti linnaosa";"";"";"";"046C";"Joone tn";"Joone tänav";"";"";"";"";"";"";"";"";""
